Category;Category.Id;Category.ParentId;Category.Name;Category.Link;Category.PictureLink;Category.BaseLink;Category.FileName
WebScraper.Category;170;2;"mc type cartridge";"";"";https://audio-database.com/CYRUS-MISSION/etc;""
WebScraper.Category;171;8;"av control amplifier";"";"";https://audio-database.com/DBX/amp;""
WebScraper.Category;172;7;"sacd player";"";"";https://audio-database.com/DENON-COLUMBIA;""
WebScraper.Category;173;7;"sacd transport";"";"";"";""
WebScraper.Category;174;2;"master clock";"";"";"";""
WebScraper.Category;175;5;"speaker speaker";"";"";"";""
WebScraper.Category;176;2;"vl type cartridge";"";"";"";""
WebScraper.Category;177;8;"3ch power amplifier";"";"";https://audio-database.com/DENON-COLUMBIA/amp;""
WebScraper.Category;178;8;"av power amplifier";"";"";https://audio-database.com/DENON-COLUMBIA/amp;""
WebScraper.Category;179;8;"av receiver / av amplifier";"";"";https://audio-database.com/DENON-COLUMBIA/amp;""
WebScraper.Category;180;8;"cd receiver";"";"";https://audio-database.com/DENON-COLUMBIA/amp;""
WebScraper.Category;181;8;"deck receiver";"";"";https://audio-database.com/DENON-COLUMBIA/amp;""
WebScraper.Category;182;7;"bd transport";"";"";https://audio-database.com/DENON-COLUMBIA/player;""
WebScraper.Category;183;7;"dvd audio/video player";"";"";https://audio-database.com/DENON-COLUMBIA/player;""
WebScraper.Category;184;7;"cd/hdd music system";"";"";https://audio-database.com/DENON-COLUMBIA/player;""
WebScraper.Category;185;7;"md deck";"";"";https://audio-database.com/DENON-COLUMBIA/player;""
WebScraper.Category;186;7;"8 track deck";"";"";https://audio-database.com/DENON-COLUMBIA/player;""
WebScraper.Category;187;2;"pcc unit";"";"";https://audio-database.com/DENON-COLUMBIA/etc;""
WebScraper.Category;188;2;"ipod dock";"";"";https://audio-database.com/DENON-COLUMBIA/etc;""
WebScraper.Category;189;2;"mc step up transformaer/matching transformer";"";"";https://audio-database.com/DENON-COLUMBIA/etc;""
WebScraper.Category;190;2;tonearm;"";"";https://audio-database.com/DENON-COLUMBIA/etc;""
WebScraper.Category;191;2;"player cabinet";"";"";https://audio-database.com/DENON-COLUMBIA/etc;""
WebScraper.Category;192;2;"other record player accessory";"";"";https://audio-database.com/DENON-COLUMBIA/etc;""
WebScraper.Category;193;1;"system component";"";"";https://audio-database.com/DENON-COLUMBIA/stereo;""
WebScraper.Category;1;0;stereo;"";"";"";""
WebScraper.Category;194;9;"portable md";"";"";https://audio-database.com/DENON-COLUMBIA/portable;""
WebScraper.Category;195;9;"portable dat";"";"";https://audio-database.com/DENON-COLUMBIA/portable;""
WebScraper.Category;196;14;"aging of dp 2700";"";"";https://audio-database.com/DENON-COLUMBIA/photo;""
WebScraper.Category;197;15;"speaker system/active speaker system";"";"";https://audio-database.com/MITSUBISHI-DIATONE/professional;""
WebScraper.Category;15;0;professional;"";"";"";""
WebScraper.Category;198;8;"multi channel power amplifier";"";"";https://audio-database.com/MITSUBISHI-DIATONE/amp;""
WebScraper.Category;199;7;"8 track tape deck";"";"";https://audio-database.com/MITSUBISHI-DIATONE/player;""
WebScraper.Category;200;16;"speaker system ds series (1960~1979)";"";"";https://audio-database.com/MITSUBISHI-DIATONE/diatoneds;""
WebScraper.Category;16;0;diatoneds;"";"";"";""
WebScraper.Category;201;16;"speaker system ds series(1980~1989)";"";"";https://audio-database.com/MITSUBISHI-DIATONE/diatoneds;""
WebScraper.Category;202;16;"speaker system(1990~)";"";"";https://audio-database.com/MITSUBISHI-DIATONE/diatoneds;""
WebScraper.Category;203;17;"speaker system sc series";"";"";https://audio-database.com/MITSUBISHI-DIATONE/diatonesp;""
WebScraper.Category;17;0;diatonesp;"";"";"";""
WebScraper.Category;204;17;"speaker system ss series";"";"";https://audio-database.com/MITSUBISHI-DIATONE/diatonesp;""
WebScraper.Category;205;17;"speaker system vs series";"";"";https://audio-database.com/MITSUBISHI-DIATONE/diatonesp;""
WebScraper.Category;206;17;"speaker system other series";"";"";https://audio-database.com/MITSUBISHI-DIATONE/diatonesp;""
WebScraper.Category;207;17;"speaker actuator";"";"";https://audio-database.com/MITSUBISHI-DIATONE/diatonesp;""
